Date,Region_ko,signal_type,signal_name,Natural_growth_prev,Natural_growth,Natural_growth_change,Net_migration_prev,Net_migration,Net_migration_change,Natural_growth_z,Net_migration_z,Natural_growth_change_z,Net_migration_change_z,Signal_score,reason,rank_in_type,severity
2008-04-01,경상북도,migration_drop,순이동 급감,347.0,356.0,9.0,-22.0,-1723.0,-1701.0,-0.4017190618053644,-0.5171443382841249,0.5122496982713776,-2.1916268292421246,2.192,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,144,MEDIUM
2004-06-01,충청남도,migration_surge,순이동 급증,327.0,316.0,-11.0,558.0,5611.0,5053.0,-0.40437937613231356,1.6297130254840693,0.4252593186918681,2.192419741528157,2.192,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,131,MEDIUM
2015-03-01,세종특별자치시,migration_surge,순이동 급증,33.0,115.0,82.0,894.0,5057.0,4163.0,-0.42017180565103857,1.4348483197276476,0.6782198500848556,2.188430688570191,2.188,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,132,MEDIUM
2012-05-01,서울특별시,migration_surge,순이동 급증,4152.0,4273.0,121.0,-10320.0,-8379.0,1941.0,0.5423014334843784,-2.95256932310194,0.5108269895017907,2.18442361232129,2.184,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,133,MEDIUM
2007-03-01,경상북도,migration_reverse,순이동 방향 반전,387.0,506.0,119.0,1217.0,-1215.0,-2432.0,-0.39188518982181375,-0.3775135586957462,-0.319412545280557,-1.8056582123835827,2.183,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,57,MEDIUM
2008-08-01,경기도,migration_surge,순이동 급증,7855.0,6106.0,-1749.0,5867.0,8797.0,2930.0,0.8726686949281598,3.200260018012554,-0.7378112685964578,2.1750961190837472,2.175,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,134,MEDIUM
2004-04-01,서울특별시,migration_surge,순이동 급증,5462.0,5334.0,-128.0,-7347.0,-3097.0,4250.0,0.6285115436251821,-0.7725801614138423,0.34049411021143705,2.1747338036418307,2.175,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,135,MEDIUM
2009-02-01,인천광역시,migration_reverse,순이동 방향 반전,1086.0,1134.0,48.0,1565.0,-1350.0,-2915.0,-0.21478900594599115,-0.49300398870384265,0.45505856651196147,-1.679935617651361,2.173,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,58,MEDIUM
2007-09-01,서울특별시,migration_drop,순이동 급감,4748.0,6048.0,1300.0,-2608.0,-4765.0,-2157.0,0.5122359101809844,-2.4451005542667863,0.37769269248804377,-2.17053959407766,2.171,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,145,MEDIUM
2006-01-01,경상북도,migration_surge,순이동 급증,289.0,241.0,-48.0,-2801.0,836.0,3637.0,-0.4289736364867854,0.26882649900028427,0.03805788127364216,2.17074808986253,2.171,전년 동월 대비 순이동 증가폭이 같은 시점의 다른 지역보다 매우 크게 나타남,136,MEDIUM
2009-10-01,인천광역시,migration_reverse,순이동 방향 반전,1189.0,1043.0,-146.0,-1499.0,1270.0,2769.0,-0.2254459164800056,0.3687514745397827,0.1218426382468659,1.8016106736394086,2.17,전년 동월과 비교해 순유입·순유출 방향이 반대로 바뀌었고 변화 강도도 크게 나타남,59,MEDIUM
2009-07-01,경기도,migration_drop,순이동 급감,6299.0,5672.0,-627.0,8747.0,6042.0,-2705.0,0.9250694020945369,2.991533749897549,-0.642626529081337,-2.16573683771714,2.166,전년 동월 대비 순이동 감소폭이 같은 시점의 다른 지역보다 매우 크게 나타남,146,MEDIUM
