player_name,rain_group,games,AB,H,season_avg,weather_avg,weather_diff,sample_weight,signal_score,signal_strength
김현수,비,37,132,41,0.3132530120481928,0.3106060606060606,-0.0026469514421321727,11.489125293076057,-0.030411156763344892,0.030411156763344892
김현수,비없음,95,366,115,0.3132530120481928,0.31420765027322406,0.000954638225031279,19.131126469708992,0.01826330461589191,0.01826330461589191
김형준,비,13,31,7,0.22429906542056074,0.22580645161290322,0.0015073861923424747,5.5677643628300215,0.008392771122746471,0.008392771122746471
김형준,비없음,32,76,17,0.22429906542056074,0.2236842105263158,-0.0006148548942449539,8.717797887081348,-0.005360180697910284,0.005360180697910284
김혜성,비,46,145,44,0.2831858407079646,0.30344827586206896,0.020262435154104363,12.041594578792296,0.24399202930479355,0.24399202930479355
김혜성,비없음,61,194,52,0.2831858407079646,0.26804123711340205,-0.015144603594562545,13.92838827718412,-0.21093991916910543,0.21093991916910543
김회성,비없음,36,78,17,0.23076923076923078,0.21794871794871795,-0.01282051282051283,8.831760866327848,-0.11322770341445967,0.11322770341445967
나종덕,비,26,55,6,0.12290502793296089,0.10909090909090909,-0.013814118842051804,7.416198487095663,-0.10244824725698427,0.10244824725698427
나종덕,비없음,56,124,16,0.12290502793296089,0.12903225806451613,0.006127230131555236,11.135528725660043,0.0682299471386631,0.0682299471386631
나주환,비,19,49,14,0.2300469483568075,0.2857142857142857,0.0556673373574782,7.0,0.3896713615023474,0.3896713615023474
나주환,비없음,61,164,35,0.2300469483568075,0.21341463414634146,-0.016632314210466043,12.806248474865697,-0.2129975484912678,0.2129975484912678
나지완,비,11,34,6,0.18446601941747573,0.17647058823529413,-0.0079954311821816,5.830951894845301,-0.046620974601847005,0.046620974601847005
나지완,비없음,31,69,13,0.18446601941747573,0.18840579710144928,0.00393977768397355,8.306623862918075,0.0327262513242868,0.0327262513242868
노수광,비,23,77,26,0.2542857142857143,0.33766233766233766,0.08337662337662338,8.774964387392123,0.7316269008708757,0.7316269008708757
노수광,비없음,75,273,63,0.2542857142857143,0.23076923076923078,-0.0235164835164835,16.522711641858304,-0.38855607597337083,0.38855607597337083
노시환,비,17,37,8,0.18452380952380953,0.21621621621621623,0.031692406692406694,6.082762530298219,0.19277738392354396,0.19277738392354396
노시환,비없음,49,131,23,0.18452380952380953,0.17557251908396945,-0.008951290439840082,11.445523142259598,-0.10245220188227674,0.10245220188227674
노진혁,비,25,86,16,0.2710843373493976,0.18604651162790697,-0.0850378257214906,9.273618495495704,-0.7886083534275555,0.7886083534275555
노진혁,비없음,74,246,74,0.2710843373493976,0.3008130081300813,0.029728670780683752,15.684387141358123,0.4662759817222252,0.4662759817222252
러프,비,32,108,27,0.29398663697104677,0.25,-0.043986636971046766,10.392304845413264,-0.4571225405276435,0.4571225405276435
러프,비없음,93,341,105,0.29398663697104677,0.30791788856304986,0.013931251592003091,18.466185312619388,0.25725707353465294,0.25725707353465294
로맥,비,28,104,34,0.27564102564102566,0.3269230769230769,0.051282051282051266,10.198039027185569,0.5229763603684906,0.5229763603684906
로맥,비없음,99,364,95,0.27564102564102566,0.260989010989011,-0.014652014652014655,19.078784028338912,-0.27954262312584494,0.27954262312584494
로하스,비,35,124,44,0.329938900203666,0.3548387096774194,0.024899809473753365,11.135528725660043,0.27727254365844267,0.27727254365844267
로하스,비없음,99,367,118,0.329938900203666,0.3215258855585831,-0.008413014645082928,19.157244060668017,-0.16117017484182797,0.16117017484182797
류승현,비,12,35,7,0.2585034013605442,0.2,-0.058503401360544216,5.916079783099616,-0.3461107900316782,0.3461107900316782
류승현,비없음,42,112,31,0.2585034013605442,0.2767857142857143,0.018282312925170074,10.583005244258363,0.19348181356424735,0.19348181356424735
류지혁,비,19,44,10,0.2518518518518518,0.22727272727272727,-0.02457912457912456,6.6332495807108,-0.1630394678087165,0.1630394678087165
류지혁,비없음,71,226,58,0.2518518518518518,0.25663716814159293,0.004785316289741104,15.033296378372908,0.07193907804793381,0.07193907804793381
모창민,비,28,96,31,0.2916666666666667,0.3229166666666667,0.03125,9.797958971132712,0.30618621784789724,0.30618621784789724
모창민,비없음,64,216,60,0.2916666666666667,0.2777777777777778,-0.013888888888888895,14.696938456699069,-0.2041241452319316,0.2041241452319316
민병헌,비,31,115,31,0.29673590504451036,0.26956521739130435,-0.027170687653206016,10.723805294763608,-0.2913731641178189,0.2913731641178189
민병헌,비없음,62,222,69,0.29673590504451036,0.3108108108108108,0.014074905766300438,14.89966442575134,0.20971137274194904,0.20971137274194904
박건우,비,23,81,28,0.3192488262910798,0.345679012345679,0.02643018605459918,9.0,0.23787167449139263,0.23787167449139263
박건우,비없음,94,345,108,0.3192488262910798,0.3130434782608696,-0.006205348030210223,18.57417562100671,-0.11525922410259272,0.11525922410259272
박경수,비,34,107,30,0.23785166240409208,0.2803738317757009,0.042522169371608826,10.344080432788601,0.43985274015658166,0.43985274015658166
박경수,비없음,93,284,63,0.23785166240409208,0.22183098591549297,-0.016020676488599117,16.852299546352718,-0.2699852391210826,0.2699852391210826
박계범,비,17,53,12,0.25595238095238093,0.22641509433962265,-0.029537286612758284,7.280109889280518,-0.21503469237205464,0.21503469237205464
박계범,비없음,38,115,31,0.25595238095238093,0.26956521739130435,0.013612836438923415,10.723805294763608,0.1459814074804779,0.1459814074804779
박동원,비,37,108,28,0.29652996845425866,0.25925925925925924,-0.03727070919499942,10.392304845413264,-0.3873285717591812,0.3873285717591812
박동원,비없음,66,209,66,0.29652996845425866,0.3157894736842105,0.019259505229951845,14.45683229480096,0.27843143719025587,0.27843143719025587
박민우,비,30,114,41,0.344017094017094,0.35964912280701755,0.015632028789923536,10.677078252031311,0.16690439462801993,0.16690439462801993
박민우,비없음,94,354,120,0.344017094017094,0.3389830508474576,-0.005034043169636404,18.81488772222678,-0.09471495702555155,0.09471495702555155
박병호,비,40,140,40,0.28,0.2857142857142857,0.005714285714285672,11.832159566199232,0.06761234037828083,0.06761234037828083
박병호,비없음,74,260,72,0.28,0.27692307692307694,-0.003076923076923088,16.1245154965971,-0.04961389383568356,0.04961389383568356
박석민,비,29,84,17,0.2614942528735632,0.20238095238095238,-0.05911330049261082,9.16515138991168,-0.5417823481721188,0.5417823481721188
박석민,비없음,78,264,74,0.2614942528735632,0.2803030303030303,0.018808777429467072,16.24807680927192,0.30560646036248107,0.30560646036248107
박세혁,비,28,93,22,0.27951807228915665,0.23655913978494625,-0.0429589325042104,9.643650760992955,-0.4142809421356736,0.4142809421356736
박세혁,비없음,97,322,94,0.27951807228915665,0.2919254658385093,0.012407393549352663,17.944358444926362,0.22264271721685133,0.22264271721685133
박승욱,비,32,69,19,0.23318385650224216,0.2753623188405797,0.04217846233833755,8.306623862918075,0.350360621760826,0.350360621760826
박승욱,비없음,59,154,33,0.23318385650224216,0.21428571428571427,-0.018898142216527886,12.409673645990857,-0.23451977742263333,0.23451977742263333
박용택,비,14,52,18,0.2754491017964072,0.34615384615384615,0.07070474435743895,7.211102550927978,0.5098591623986386,0.5098591623986386
박용택,비없음,39,115,28,0.2754491017964072,0.24347826086956523,-0.031970840926841965,10.723805294763608,-0.3428490732093129,0.3428490732093129
박찬호,비,42,165,44,0.25992063492063494,0.26666666666666666,0.006746031746031722,12.84523257866513,0.08665434676083589,0.08665434676083589
박찬호,비없음,91,339,87,0.25992063492063494,0.25663716814159293,-0.0032834667790420102,18.411952639521967,-0.060455034829165234,0.060455034829165234
박해민,비,33,118,26,0.24324324324324326,0.22033898305084745,-0.022904260192395803,10.862780491200215,-0.24880395078333084,0.24880395078333084
박해민,비없음,100,363,91,0.24324324324324326,0.25068870523415976,0.007445461990916502,19.05255888325765,0.14185510299499338,0.14185510299499338
베탄코트,비없음,43,167,42,0.24736842105263157,0.25149700598802394,0.004128584935392365,12.922847983320086,0.05335307550630092,0.05335307550630092
샌즈,비,46,177,47,0.30522088353413657,0.2655367231638418,-0.03968416037029476,13.30413469565007,-0.5279634148501801,0.5279634148501801
샌즈,비없음,85,321,105,0.30522088353413657,0.32710280373831774,0.02188192020418117,17.916472867168917,0.3920468296197673,0.3920468296197673
서건창,비,37,134,43,0.3055555555555556,0.3208955223880597,0.015339966832504104,11.575836902790225,0.17757295414727908,0.17757295414727908
서건창,비없음,68,262,78,0.3055555555555556,0.29770992366412213,-0.007845631891433447,16.186414056238647,-0.12699264632757254,0.12699264632757254
손시헌,비없음,38,101,31,0.2698412698412698,0.3069306930693069,0.0370894232280371,10.04987562112089,0.3727440903008849,0.3727440903008849
손아섭,비,38,142,38,0.2925311203319502,0.2676056338028169,-0.024925486529133345,11.916375287812984,-0.29702145171248,0.29702145171248
손아섭,비없음,87,340,103,0.2925311203319502,0.3029411764705882,0.01041005613863799,18.439088914585774,0.19195195074617535,0.19195195074617535
송광민,비,29,107,33,0.26730310262529833,0.308411214953271,0.04110811232797268,10.344080432788601,0.4252256203606581,0.4252256203606581
송광민,비없음,85,312,79,0.26730310262529833,0.2532051282051282,-0.014097974420170134,17.663521732655695,-0.24901987755709923,0.24901987755709923
송성문,비,34,103,20,0.23693379790940766,0.1941747572815534,-0.04275904062785427,10.14889156509222,-0.43395686675946565,0.43395686675946565
송성문,비없음,54,184,48,0.23693379790940766,0.2608695652173913,0.023935767307983635,13.564659966250536,0.324680544564094,0.324680544564094
스몰린스키,비,20,74,17,0.22926829268292684,0.22972972972972974,0.00046143704680290387,8.602325267042627,0.003969431566862151,0.003969431566862151
스몰린스키,비없음,35,131,30,0.22926829268292684,0.22900763358778625,-0.00026065909514058627,11.445523142259598,-0.0029833797056720264,0.0029833797056720264
신본기,비,31,97,18,0.24786324786324787,0.18556701030927836,-0.06229623755396951,9.848857801796104,-0.6135467852559561,0.6135467852559561
신본기,비없음,79,254,69,0.24786324786324787,0.27165354330708663,0.02379029544383876,15.937377450509228,0.3791549181475883,0.3791549181475883
심우준,비,35,119,34,0.28,0.2857142857142857,0.005714285714285672,10.908712114635714,0.0623354977979179,0.0623354977979179
심우준,비없음,85,256,71,0.28,0.27734375,-0.0026562500000000266,16.0,-0.042500000000000426,0.042500000000000426
아수아헤,비없음,34,113,25,0.23529411764705882,0.22123893805309736,-0.014055179593961464,10.63014581273465,-0.14940860850798296,0.14940860850798296
안상현,비없음,37,84,18,0.24,0.21428571428571427,-0.025714285714285717,9.16515138991168,-0.2356753214548718,0.2356753214548718
안중열,비,12,31,8,0.19696969696969696,0.25806451612903225,0.06109481915933529,5.5677643628300215,0.3401615568688918,0.3401615568688918
