gameinfo,year,id,team,inning1,inning2,inning3,inning4,inning5,inning6,inning7,inning8,inning9,inning10,inning11,inning12,H,AB,AVG,R,RBI,game_date,player_name,team_2019,opponent,team_H,team_HR,team_RBI,team_RUN,team_OBP,team_win,home_team,region,temperature,rainfall,wind_speed,humidity,pressure,ground_temp
20190402HTSS0,2019,66606,HT,0,1205,5005,0,3100,0,7005,0,0,0,0,0,1,2,0,1,1,2019-04-02,최원준,기아,SS,7.0,0.0,3.0,4.0,0.357142857,1.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,62864,HT,0,3000,7004,0,7101,0,0,7005,0,0,0,0,0,3,0,0,0,2019-04-02,김민식,기아,SS,7.0,0.0,3.0,4.0,0.357142857,1.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,78603,HT,0,1017,0,7304,0,7100,0,7104,0,0,0,0,1,4,0,0,1,2019-04-02,김선빈,기아,SS,7.0,0.0,3.0,4.0,0.357142857,1.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,79402,SS,7102,0,6002,0,2000,0,1017,0,0,0,0,0,1,4,0,0,1,2019-04-02,김상수,삼성,HT,6.0,0.0,1.0,1.0,0.222222222,0.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,62404,SS,7006,0,3000,0,7104,0,6006,0,0,0,0,0,0,3,0,0,0,2019-04-02,구자욱,삼성,HT,6.0,0.0,1.0,1.0,0.222222222,0.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,75566,SS,7104,0,2000,0,0,7003,7212,0,0,0,0,0,0,4,0,0,0,2019-04-02,이원석,삼성,HT,6.0,0.0,1.0,1.0,0.222222222,0.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,67450,SS,0,3000,0,1011,0,7104,0,7104,0,0,0,0,1,3,0,0,0,2019-04-02,러프,삼성,HT,6.0,0.0,1.0,1.0,0.222222222,0.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,61404,SS,0,7104,0,7001,0,1117,0,7001,0,0,0,0,1,4,0,0,0,2019-04-02,김헌곤,삼성,HT,6.0,0.0,1.0,1.0,0.222222222,0.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,71432,SS,0,7004,0,2000,0,2000,0,2000,0,0,0,0,0,4,0,0,0,2019-04-02,박한이,삼성,HT,6.0,0.0,1.0,1.0,0.222222222,0.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
20190402HTSS0,2019,74540,SS,0,2000,0,2000,0,0,1017,0,7004,0,0,0,1,4,0,0,0,2019-04-02,강민호,삼성,HT,6.0,0.0,1.0,1.0,0.222222222,0.0,SS,대구,8.208333333333334,0.0,2.4208333333333334,34.458333333333336,1015.2666666666668,11.5
